id,title,file_id,price
16039,Reebok Girls 7-16 (Parigi) Big Zoom Up Short Sleeve Tee- Pick SZ/Color.,16039,59.79
9616,FIREHOUSE PINK HEART T SHIRT TOP SIZE 6/6X BRAND NEW SHORT SLEEVE,9616,52.28
4516,NWT NIKE GIRLS' GRAY HEATHER SWOOSH COTTON SHORT SLEEVES TEE SZ M AR0711-063,4516,44.47
803,New Hatchimals shirt girls sizes XS S M L XL Hatchimals shirt girls,803,56.01
1501,TOMMY HILFIGER NEW KIDS GIRLS GOLD STAR LOGO PRINT WHITE T SHIRT TEE M (8/10),1501,56.01
16071,"NWT Oshkosh girl lavender t-shirt w/""star of the show"" on the chest; size 8",16071,52.28
5385,Under Armour HeatGear UA Girl's Studio Crop Shirt Sz Youth XS NWT 1290862-001,5385,54.18
12852,Disney Pixar Inside Out Disgust Kid Girl Green S/S Graphic Tee T-Shirt Top 6/6X,12852,29.86
6785,"DISNEY STORE CAPTAIN AMERICA ""LOVE"" 10/12 LARGE  T-SHIRT *NEW WITH TAGS*",6785,47.61
6776,Under Armour New Men's Cotton BALL Black T-Shirt Tee Loose Fit Charget L NWT,6776,49.66
15446,Disney FROZEN Elsa Anna Gold Glittery Plum Sz 5 Girls TEE TOP T-SHIRT $20 ~ NWT,15446,33.18
14276,DISNEY Tsum Tsum Characters #BFF Girls Graphic DIY Color Me T-Shirt XL 14-16,14276,10.95
14243,Boy's Lucky Brand Gray T-Shirt Size 14/16-NWT,14243,37.33
6076,NWT Nike Air Jordan Girls' Jumpman Black Mesh Tee Size Large,6076,93.38
1037,Disney Store Minnie Mouse Rose Gold Fan Girls T Shirt Toddler Size 2/3 NWT,1037,55.3
347,NWT Boden Johnnie B Olivia Pink W/Green Polka Dots Top Size 11-12 year,347,64.42
15486,"Brand New Funky Diva Big Girls Short Sleeve Graffiti Print T-Shirt, Size Large ",15486,18.65
7633,NIKE MY TROPHY IS BIGGER THAN YOUR GRAPHIC TEE T SHIRT TOP YOUTH GIRLS M GREY ,7633,48.39
2859,Lost Gods Star Kitten Girls Graphic T Shirt,2859,70.81
16220,Nike FEELIN' FIERCE Neon Green Top Shirt * Sz 2T  *NWT,16220,41.07
3530,Girls Cat & Jack Short Sleeve Friends Forever Graphic T-Shirt Select Size (1938),3530,41.07
15879,Under Armour Girls S/S Pink Dry Fit  Logo Top Size 2T 4T 4 5 6,15879,48.54
8930,Candy Corn Applique Shirt,8930,97.15
14227,"NWT! ""CHEROKEE"" GIRLS PINK S/S SHIRT SIZE L (10-12) ",14227,14.91
12828,Juicy couture girls  4 T Shirt NWT velvety lettering 💕 Adorable ,12828,56.01
